msno,payment_method_id,payment_plan_days,plan_list_price,actual_amount_paid,is_auto_renew,transaction_date,membership_expire_date,is_cancel
hRfg3AhvPGzYW/6r5Sv83dOWbKS/LkzzxKqenTfgSYw=,41,30,149,149,1,20170312,20170412,0
1Fc3yWNUl56dxY5nMgmb1bKjA7L8V8RJVPU7PHTdXoU=,40,30,149,149,1,20170316,20170418,0
UBLbUWtmIVJu6JnXnjOZ+P1EJ5qkMDLBDhFblBLbri0=,36,30,180,180,1,20170306,20170405,0
lkpDI4H48FTwdnmobnMBLqC+WlpRRkNJy/r8erZzf1o=,36,30,180,180,1,20170304,20170403,0
T0fySL6y1RNvRrVvdXuej3VGvuOqIg6UMn3MXXEh3CM=,38,365,1299,1299,0,20161103,20180616,0
kq33vUMdyHcOgkWU8WzE0dEcifFvhwXLNG9zqnFBicU=,39,30,149,149,1,20170228,20170404,0
H4Vk1wVqomavZ1gU7+/YsWaWQknWheOweD8nq5Iky/U=,41,30,120,120,1,20170307,20170407,0
CnPnM6/tIKXWTfJSaA+H/eZtzEwNERshPQNmOtxjPHI=,41,30,100,100,1,20170302,20170402,0
MPtNbRj7UGxtznQ7KRmKVd5nzIiJ3tVh7/m4DaVxT0E=,39,30,149,149,1,20170228,20170423,0
V8Ce8hcbuBTFpEaSh+/zpPkbKXiRWqePZZ2xzDNb/5E=,32,410,1788,1788,0,20160411,20170529,0
X0hqqODVwJT2phe/x6VTq4yHS7jjWFcMFkfvxUfiZ94=,41,30,149,149,1,20150624,20170623,0
qBzgGZ76vCSKpZtEGT5G8G/59lT7nEd/gfY/49jRl8k=,41,30,149,149,1,20170331,20170501,0
qLKwuVyul1PTeKhWXkAEWiulxRNfaacQ4f4DALRYwoU=,41,30,99,99,1,20170319,20170419,0
uLVFrsg3bddgqQzTmfbJrSqU/F/03l+ViJMiboi7Ji4=,41,30,149,149,1,20151205,20170401,0
KLZkUTVzdDiCpX4cG973HpVdrq76TpD+8p/1XUZwtdE=,39,30,149,149,1,20170331,20170513,0
R/IEO6Cwa7v7+85teHLpuUPQrOOotdihD6irLL3GcwQ=,38,30,149,149,0,20170302,20170401,0
X8xwu7b+FTmSpMsoWeENwu3xJGo19vV7Uu6i8VXMSeE=,34,30,149,149,1,20170304,20170331,0
UtnZ9csgi5rcqCmfLI9K0E/d2tXgJw9ek4g5Db9SsxU=,29,30,180,180,1,20170304,20170404,0
MWlaP92cyq7g9ZzAssZ6Oep9NrHJsminFztrOFi3oow=,36,30,180,180,1,20170320,20170420,0
fLfyKtzeaDH2f7mYUPQaa5No7HuYPAzX7poVFTz1Slg=,38,30,149,149,0,20170307,20170407,0
apPK2KmAq6gI9mDdlqFjct4xxFjw4JBjTo4gPDBwj5o=,32,180,699,699,0,20161213,20170614,0
sKc4kB2yzIe4/7BIb5p7wQWR+XQdjmCnGxz5P2vNGpQ=,34,30,149,149,1,20170331,20170430,0
ulYwSu6E3FN7XKfKHwN27DZg/TgVEBf6SVLsX3+c6NA=,41,30,99,99,1,20170303,20170403,0
1gcsEuCRQ4aGhql8qenz1z+4tanRbFR7rrFmUCcb0bE=,22,410,1788,1788,0,20170307,20180424,0
TbP+dJcGszElsmjQWAf+h1FeuA9Hf4NP8en6umaiOxU=,41,30,99,99,1,20170308,20170412,0
gMWO/Lb53S80vS2ITt53GwnLT8ih6JfLc4rwXH9sxAw=,41,30,99,99,1,20170315,20170415,0
EcsJJhyNswBs6USgaeA9y3jqBE4Yy7pr9vmVdejdQv0=,40,30,149,149,1,20170309,20170409,0
qRt9/ZYIJEZooZDoTz7aF88hNzMdzBQZ4k/T4D/jHSI=,38,30,149,149,0,20170327,20170426,0
cU4YawrDYXUO10QVDGbvX49/EpIi21pkqTBlOQmezYk=,41,30,99,99,1,20170319,20170419,0
D2cpo970QsrQMClzrJX4grcKYm49nknHAVUxEnmjvg4=,40,30,149,149,1,20170320,20170419,0
kyA9nRgZ6DR1TOaAs0dNHB+Z5/5volUfxt7ERYhKjow=,41,30,99,99,1,20170328,20170427,0
7iRH9RwGCKxJHN/R/pSZm52J6RtAY5vVDuu6JWIa2S4=,20,200,930,930,0,20160911,20170401,0
LnICFjWao5D+RkIqZ9UMVjYk1pYh8Wt40BsRrQ+5ZLc=,41,30,99,99,1,20170301,20170401,0
emVxagRT3/bi6boFfmDIY5Ne0r9cW0ASvqCEDgRQRNs=,41,30,149,149,1,20170331,20170331,1
sQPsbxYsYCLTmvGupVYtBvh53y0OfZdnpvUrPQoT/DY=,41,30,149,149,1,20170323,20170423,0
Ad2U7V0+PRkLuH5hAGIPeT4jrVBrYH4lfcEPLZkoayE=,41,30,99,99,1,20170302,20170402,0
SIpyrvu4ToAvHJk0pb1vMbAhp5eNeFqNTHLX1uoYABU=,41,30,99,99,1,20170311,20170411,0
UWcNi9wLSk+o04TYJt2LhBCPTAEfrXnG/X149Gkj/Pw=,41,30,99,99,1,20170325,20170425,0
8K/Vbq/hFhUXp8AevT78z2DVRx7cLKt9e9yac82N8Ic=,18,30,149,149,1,20170322,20170422,0
f/kq1aDv4fe+DwEmFOSyU6ifB30dYjAiXEMVUCAHWMg=,38,195,894,894,0,20160923,20170406,0
EEBiIpHIdj6XY3jb4ZVya+oJ5XDSqottZZN7Q6twyg8=,32,410,1788,1788,0,20170223,20180412,0
OGPdCHGhJACg1tI9S0yaWfXm8VrvkuBfWiv9Dd6Xa04=,29,30,180,180,0,20170314,20170413,0
2PXIhLQ2FrsxTvPQFb/uln8RiGOmed9ly2oCLiUGUOE=,41,30,149,149,1,20170325,20170426,0
Y1dGEpSI8/iQJb7jJGPHgpVsJDLHVugxWxQFUEXi3I0=,33,30,149,149,1,20170331,20170430,0
DdNiicfxtQgYaMvaTw4XM5iNAUuOrb9Ixc76pwOoIdA=,41,30,99,99,1,20170304,20170404,0
zlBBC+fEWoGFHzon7fowy9tPwWofe9EAqVIISSBlq5w=,41,30,99,99,1,20170313,20170413,0
ODKV42hAq+QtWbHiCJL7wC1zZBi8N0BtXL3fIUJsHDc=,36,30,180,180,0,20170331,20170430,0
b5FvnxXOofGqSXxRXOlUBLifo9p3i7Tw6C6nupZXF6A=,41,30,99,99,1,20170314,20170414,0
d190RbnkKEeJIKmE2sx0rADko31nXAd12YHQk8hnZf8=,34,30,149,149,1,20170331,20170430,0
3vBS8ErU/ofKm0Ga0lGB18Tw6qowQPEx1lUbP0JU3IQ=,41,30,129,129,1,20170309,20170408,0
l2ba61W1euUSQSnxqPTScjEVgXLHGM66QmhzqSyMLYE=,41,30,149,149,1,20170315,20170416,0
dli9g9lg1g4H0JWEtMzR9zOmEvbC/QNhym9UZAcEviI=,41,30,149,149,1,20170326,20170426,0
b2vNqL5ROQScuUBARd7mSDGlWelIahDcFWPiwGLidsA=,41,30,99,99,1,20170304,20170404,0
gA1mdBepQyoGHsTq915HEHU0VPaFQpBezu+pKrup31c=,36,30,180,180,1,20170313,20170412,0
jEzj7JsuKIN2rGpQk4WEdrTXbdMKlLoqq9Dy6W/XFaI=,20,100,480,480,0,20161225,20170404,0
o2hUYSpKHJTO46S2qbI0zZ5W/MxqaaMwRGVIu70EmpA=,41,30,99,99,1,20170321,20170421,0
Wny1+7ETB1N+uWTHBu3qwArmjRTMUAUXqLgOXaEK8iU=,40,30,149,149,1,20170326,20170425,0
gSvtEOOG0YE49BB/fE41yow9fC26inZSp3r45v3Gixo=,41,30,99,99,1,20170331,20170430,0
m7F0XskZKLJ9PPYjsfy5Y/sbNR+Ork7RqpIZ7bFu//4=,41,30,129,129,1,20170302,20170402,0
8phxcbH0utCFtV+5v7iLyucfQTUSdsiA2bWzzMjDYBs=,39,30,149,149,1,20170228,20170419,0
m9ES8BoIM2uHxDkkDPW9g8N35/t+2UIxLG2qu92w+Tw=,32,410,1788,1788,0,20170224,20180410,0
C86EqWQAHREP+dNcXKh1ThM31fgggd686ots8YPkPmE=,35,7,0,0,0,20170320,20171118,0
jN/iZ9Rs25BSRTe27msi1jqxZxW8j5FvPl2/iAa6rVc=,38,195,894,894,0,20170315,20170926,0
LEaIiK++tzLY2AKxcLVjohoF43ZzbWtE8bZoJKcd/cs=,41,30,99,99,1,20170314,20170414,0
qGAGElS3Y28ka/bG55HEUff4Q42Co7y0MqL7GuMJsMY=,41,30,99,99,1,20170301,20170401,0
8xe2xejs+x8irXoPc+jjgZYXghVHVRO+YZIcupMoQ0o=,39,30,149,149,1,20170331,20170522,0
GUOshlmC6TUX2rtwZV3haKVtOlFNtaSB0bDQCLnxKbc=,15,120,600,600,0,20170120,20170521,0
dUas7uM5zGtDiPEOnfD6eISCJymi+4WgOaQIh5It/pA=,41,30,99,99,1,20170331,20170430,0
1sKZqX058ezUndwLbscopHn1PztBgmoD+bhaiDzRv3A=,38,410,1788,1788,0,20170214,20180331,0
4V2mFUQwNlgo+I85HU6cMrXiVo9s10oK494m+/+3c3s=,17,60,0,0,0,20170321,20170325,0
bw7nbn4g5BezjgU6g5TySDXXmGMqY/7I41qj10U0O8s=,32,410,1788,1788,0,20160619,20170803,0
tv49HjKYddqm1Xdw23ULAKsIQzZLdCyHMbGNtNvSJ8Y=,41,30,99,99,1,20170313,20170413,0
tqki2DkixkmMbW2zgmZAVlF7u0PM2nQWpXcjXQTH5Es=,41,0,0,149,1,20150512,20180811,0
7kESJUZ13toCjdIu+nUrSrLMjd9tz0SGSTATbMb1hcg=,38,410,1788,1788,0,20170219,20180405,0
G/huJpxnWVcmmJ74FuF9FTLFFV5j8xcFKwEktVsYkKs=,32,395,1599,1599,0,20161208,20180112,0
fvVXuX1K0nna4yETDukKxOTItJ29Ec0yznj1g1l1+CQ=,39,30,149,149,1,20170331,20170508,0
l3Jy+CT+qSqMo8RU8+MlPN8Zq2YUzKGNgOowM95JzdY=,41,30,99,99,1,20170314,20170414,0
IyW2+6mzVLyz0NMS28W4atQIBR4omffzBJlwoBgaS2U=,41,30,99,99,1,20170313,20170413,0
+M07SRkQUmRqVJyfY5yH6iB2p5JRVKY3KB2EYY/xLPU=,41,30,149,149,1,20150725,20170624,0
ZhJPUq2NJsiV3qLkPCQSZEySUIXIbrkjWblTUnqaHOs=,40,30,149,149,1,20170305,20170306,1
vyYbtzQa+XJVucvXflCyd7/WMoAvLTLg/BFEf6tjNXg=,40,30,149,149,1,20170305,20170415,0
V1fzGfAwNv1HzmH8DSeBlke5zyWAdPfdRUitAALbXVo=,39,30,149,149,1,20170331,20170510,0
1H3MDuVuVwT58mIlO70D4tv9cBhndjNeczO9qn+Sg7Y=,38,30,149,149,0,20170329,20170429,0
eMvHuSpAegjDMF1jskVzcnu3a/kfunHv+OI2BH5ztQI=,41,30,99,99,1,20170322,20170422,0
fj4f7W+NMI8YPwYsFZGSPOltJ+tJxjEKLmWOlvX1H6I=,38,30,149,149,0,20170302,20170401,0
n/YsY0oh8YsbalXhdrYVfotpOiBDANCKTKwQPmB+6G4=,34,30,149,149,1,20170131,20170402,0
I8kQizsQEmWeiEaBjhCowsBiEp4Yvp/Kpt9IKFJMP8I=,41,30,129,129,1,20150619,20170627,0
/+SkRq2S71fQlUvVpFUKqKD9UHRvbcFHYrt0c3jrT50=,34,30,149,149,1,20170331,20170430,0
ivYd0LxIBMFPoAEoqcoYvx7g1hDe9tZLksQ5CNWzckQ=,40,30,149,149,1,20170321,20170420,0
vXB62QK6n12I0CT0fPXW4vcVfo/JIb0i6YljTui7f2M=,41,30,99,99,1,20170331,20170430,0
za3UXI3DyOM7cjum6T9koeqPRKLrolKHGK9NC5l7ayA=,36,30,180,180,1,20170313,20170412,0
ow2Jg6/2SpKYYK0A7yoyya2Tg7X4zON96OFzFV2iM4U=,32,90,298,298,0,20170118,20170418,0
11wqP8vUOOmLeE4ABWQJLZL+gjAVLtu9dfZasplj7hc=,40,30,149,149,1,20170326,20170425,0
Q3pXHB/H8Tfb/CHeThJxNVnMb0THdaNtwTzWP0gTSiE=,36,30,180,180,1,20170309,20170408,0
xIaQ5xADgNKJpBbmUVh79jLI6DfhK9HseVoQMbIo+MI=,41,30,129,129,1,20170111,20170918,0
ul/+geI3fFGMABP0G3OvoKiVgPCQNe9NBIp/uehR6vg=,38,30,149,149,0,20170321,20170420,0
Xqe5jLTKKS2FLUyuGjbib9AJvoF05mf8ldNai90fntk=,32,410,1788,1788,0,20160801,20170921,0
cYWMXq9q4B6B/60Kw1ME+efkdnApQ6b3dsKQx9yeeAc=,41,30,149,149,1,20170323,20170423,0
yPlVbgyAaAMsknrwp4twsO+4Syf3DqcC4dro9fy8AnE=,38,30,149,149,0,20170307,20170406,0
Z8tcJDwexria0/puOldpBbHV8bPDbyBRdFUi5TIDLn8=,38,30,149,149,0,20170311,20170410,0
V5NFFBig37kLT38x2aB838941oFkZumzKn5Q56/z/aE=,15,360,1200,1200,0,20170323,20180409,0
R4RkUuXeOuNxOmI7AJK/0Hoe8U/5fj3EOx68EbFlaPI=,30,30,149,149,1,20170313,20170412,0
I2ZIl7naqRE8UfwsMGJJYJLQ9th47ZBPBoYQbaA6vzs=,38,195,894,894,0,20151006,20170624,0
vFm/zqoHzo6NrvGW23iAHEIWhaW/IypU/NBVcHkTNkc=,41,30,99,99,1,20170324,20170424,0
HPhCF3rVcOfRgIkZmnpgKT6oYck6Lz30qAcYaUScX0M=,32,410,1788,1788,0,20160901,20171016,0
Q8cEjLfiyqhNeKn8VlQiyj/lNAyGysJ+5961piZyMRw=,41,30,149,149,1,20170318,20170418,0
BkCh+hPIjBHwtnNIT14CeUQB/A/BgU5T91OUZLiM0gs=,41,30,99,99,1,20170315,20170415,0
tUI28vf1NVc2mHc5Xbhz+sqmSyH8tcDZRH2aE+/W/vw=,41,30,99,99,1,20170303,20170303,1
t7651fCg4EPwkIv89BEP7zJZQN5kp1LSYgNG+aI2/kg=,41,30,149,149,1,20170319,20170419,0
yZtSkwutMsnEiP2VqygebRkU8BeIVHNkgvD81LG6pO0=,40,30,149,149,1,20170301,20170331,0
dSMo51DdSYvMfV59zlgTHtX7q0jP4L6wu45dbbcQu3U=,15,360,1200,1200,0,20170122,20180107,0
cd62OXWiDKd9wjuxnCE4o3msNyq9x46L37TRMJs3484=,41,30,99,99,1,20170325,20170425,0
e3dilrIL4aFKOEUNT8mnJYJUKAthBpw4fcmuwi0qRHU=,40,30,149,149,1,20170320,20170420,0
sREn4/Z6o2KxX2DPjqWCVouHA3m9liIAg07UHYg5IiI=,41,30,149,149,1,20150826,20180426,0
HL+qcirx0cWPuUlhx7X8imZVHZkIZvReU+HGbUlGOlU=,41,30,149,149,1,20170315,20170415,0
upeGazUi04zo4bQxjtnGjStwZ3sEOo2syahXPWWxBAM=,41,30,99,99,1,20170303,20170303,1
24dVvKpAVyBxr48K8CwvHMYIPQhnU8oM1QymcuZfuX0=,41,30,99,99,1,20170310,20170410,0
B99Vn35sDRSGA8/lAL7rY3W1QiHl9g9ZkwUjLbyDvuA=,41,30,99,99,1,20170316,20170416,0
H91bCHqn+UDX+dFz0IH4HajLXwxc7/YDgCv0+6mP174=,38,30,149,149,0,20170325,20170424,0
QJCjpNo8Iw7OYwgDisavFEgYD7jMcBgujSfcuvicH4k=,41,30,99,99,1,20170311,20170411,0
+Q60+dIbZX9gy2QoMuFkAt1dVpuqAAihPB9NUfjfPNQ=,41,30,100,100,1,20170322,20170422,0
wGAuOgzK1+EqI6MthixQt4rYVwCqXvD8I7K6ZmjClLQ=,36,30,180,180,1,20170317,20170416,0
GudzVyKSHVVAcOuARZnp8hP7UWcnY8Mlbsq9bjf44/A=,39,30,149,149,1,20170228,20170416,0
WNdavTog+r7ahQEAhs5EjUppyPe2h4fUE1VkClGIruU=,41,30,99,99,1,20170327,20170427,0
znYLFJI7/+uVJS54gtwbsHUAXj186N4P5Ms+7Gu+P/Q=,41,30,129,129,1,20170303,20170403,0
ArirfyStrEOua3nnPlDGcmV6sYKUNrLuKAJo+nxtmjQ=,39,30,149,149,1,20170228,20170409,0
U6K0CLNcznVmNuAQQH7DqI/cCJhQ6P4CxORRYYox42U=,41,30,99,99,1,20170331,20170430,0
fx47rCeudFJMpqcFETBN3fCiGJ8gMQS9pAqP/FVJNZc=,41,30,99,99,1,20161018,20171003,0
uUpGf47QRt9WeZFRnb6Fe5LGC0nFb18kUJnjZNzLd9s=,39,30,149,149,1,20170228,20170417,0
RguGcySkKe58qcbHVUMYkeJWoCOT8382W+4pi3h5whE=,41,30,99,99,1,20170321,20170422,0
YndbmXvnV1t/rKWhcZ+1YzGicWqVFZmr6DaPoitb2Js=,40,30,149,149,1,20170303,20170402,0
cmlCHjCLeo0TQK1S/37OqQK1AvwJWkD2h5HBd9lATgw=,38,7,0,0,0,20160721,20180307,0
QvT28DQeNBobY48k2hafpY0jw7xF3lFBJlRifqm7rFw=,41,30,99,99,1,20170309,20170409,0
78ZV2a/9MZyhrpADzG2sL6rtRee2+SPXSdU0p76y4NI=,38,410,1788,1788,0,20160515,20170629,0
qBts54VvJUFHk2/mpGFw2krMMLEgcjFGrg/2Qld7dEM=,37,30,149,149,1,20170318,20170417,0
D8jpCEGkU/Yq7BSewzrdR+L9VojDHisLoKrjsPiQAlY=,41,30,149,149,1,20170320,20170420,0
qPI9stsWHKNsA1NOnGRcVF2lBCPVIlWHA9Hd7Ps5FN4=,38,7,0,0,0,20160724,20170813,0
IT+/Q0Pr9NAUFP4JUVS+P+JNzoY78oof3wF6G0BjTwE=,40,30,149,149,1,20170301,20170331,0
a17qIjaw1LNAl4YVI8uTL/pUyKoAF1lIjap35PFb/us=,41,30,129,129,1,20170324,20170919,0
VO+TNsm0CsjRX4IQp0xswkkxQ03KL7aTow9ZLq1yej4=,40,30,149,149,1,20170323,20170422,0
wjgF9vLrFyiSl8Q1DBkvaaqJY3pSHiCto/cO4HiFhB8=,41,30,99,99,1,20170322,20170422,0
SUI4Br9syczRBcaXyEav/Vn25fyvMtJTQjrAHTvRCIo=,41,30,149,149,1,20170323,20170423,0
jS2v79d9BTVum1ZV3Ebidj1Gpt1aZ1ge61PWtH2ka+M=,41,30,99,99,1,20170312,20170412,0
tPRXvOMr/YDz2PcD8vVPB4rWIt3FuUwWjzIzAF18+Rs=,41,30,99,99,1,20170314,20170414,0
qkPTCe0Ci7VHicW31+zNqe6Q+/O4p7iAFL3cRVXBmLg=,34,30,149,149,1,20170331,20170430,0
PAZwLcikdMvbT/oe9hLN/0aUmgvXupnfI5bwPIAYfkk=,36,30,180,180,1,20170318,20170417,0
XEhSfyjQYF6G6h/Fn2vhuKZ3dMw/NO8dN/fweLQITLs=,41,30,99,99,1,20170323,20170423,0
v+VIciM8mE+hl31a+pUoI3XOAdtYyaIIqN9Hx7yDG7E=,41,30,149,149,1,20150115,20170521,0
i1E4wU8VJtrD3hnJFndGYun0ybS+XxkhP+vFslrzoa8=,39,30,149,149,1,20170331,20170514,0
Zy5TeXMq9LcW0RZOCoHEFXU7ZXEdd4mC/6XpWIUxFK0=,41,30,99,99,1,20170313,20170413,0
+rhbxWFMiDBPxru7QEzn6OASXiVTjZjEj+INElygKyk=,41,30,99,99,1,20170305,20170405,0
oqMlDUzL3zF6vT9kR6+1iyEXGR4IV/J0FbdozB7MCGQ=,36,30,180,180,0,20170328,20170427,0
K6asxxc37fqSDGL48Mbje3ijRnBvELNZzrDuzdc29G0=,41,30,149,149,1,20170331,20170501,0
USRrm/y4q3lH159veT2zirQfse9wETRmCr1IF4u7470=,41,30,99,99,1,20170323,20170423,0
/zZTmqsNm/9K373KfH7wpNhI4+GpEUjBP3HsQb3pbcI=,41,30,99,99,1,20170320,20170420,0
0l5MVTzgXr7gdxT96YsklXg0WUR0wNRMsWvAnOYNmi4=,41,30,99,99,1,20170324,20170424,0
W5SIyYaEbuHRvNCYyrwYqufUF1RphnIEVtGTpgE87gE=,38,365,1299,1299,0,20161115,20171115,0
UctUN73QDyWYNR22E0x/LVCsklhpGj3dSyt6N0or77w=,41,30,99,99,1,20170318,20170418,0
QQvwRnU2fGC5IBM76OaWaSiGIrpdUvBNAm1js3UNU8w=,41,30,99,99,1,20170304,20170404,0
DbZgwU2YlZ3W4aHaNV12R/8YQKrg0cLryTIDN4J9CvA=,41,30,149,119,1,20150214,20170401,0
nCfOerhC43FyNak6Biit7ma+jNDsDWdvQK/uaOx2ffk=,41,30,149,149,1,20170322,20170422,0
HVlnUv7UT/87b+9wewv9tr+/wJb9yFKZkw+GdFWXZ1A=,36,30,180,180,1,20170307,20170406,0
ilbjHN3HEpm+xe7s7uk8pRhblh4aEn0Gfq9xIz7D7zU=,41,30,99,99,1,20170316,20170416,0
O7u2PPoS/sUN8MeBsCAyItk2GyPlplZx7WXcjLPr9kI=,41,30,149,119,1,20150316,20170813,0
8E/NuJQiiDx1MwWeCayyHrMm+MzDAKbwvO9T1Z4BJi4=,41,30,129,129,1,20170322,20170422,0
Ght2nm4A7QspiTMcg7g4M/SC1vv5zOgwYzBQzE6IXWQ=,41,30,149,149,1,20170318,20170418,0
gM2eyopaIlGhVyLcUWMdQv5WiXCmQrFiuI24hShUw2g=,34,30,149,149,1,20170331,20170430,0
rcddmtfl596UghFrByBW1SwuC/FiKbkjZBTTZB5J9rI=,41,30,99,99,1,20170331,20170430,0
r8+Cv/vPY+Mus2/o57jo5NocdNoV7y5r5W+kb9PIUG0=,41,30,149,149,1,20151114,20180114,0
xi5G1uP3cNv5c9f6bCVc0LS9SVKqtmK4N/Kjv/esg2o=,38,30,149,149,0,20170325,20170424,0
Wb8hxpe8Py0kRVI8qVP7v/Q/tEpX4sgyCfsQaA4B2wI=,41,30,99,99,1,20170324,20170424,0
H0qG+4sxrIzLaUuMQ5hEm1LVHpvtfz5Z7YVXF56Q9Cw=,28,30,150,150,0,20170311,20170410,0
N4Atf4IutW2/fw8NKYbjmIQucoG8qlB+ZKNh+c8H17M=,40,30,149,149,1,20170306,20170406,0
1nxdu47pB+zn6uYJKxkqTu49OUg1VzSlo3yfJfdZECE=,41,30,99,99,1,20170301,20170401,0
MyPMtL+0iGcQqeroeRRhpggrrnLBmugrH2nE0y9D+KA=,41,30,99,99,1,20170303,20170403,0
dyFZ9waB9LtljBlETEMiAUFgS9VH10f5l/iEL0bhHjQ=,41,30,149,149,1,20170321,20170421,0
9d/EDplVTxLCcQ2Tls3EJWcOaJsQtgymrbsOx0bB93c=,41,30,149,149,1,20170306,20170406,0
CGCctXThPz3+dRgsm/o/KG26HyEsHh/q4iTtoWTVGvM=,37,30,149,149,1,20170301,20170331,0
