msno,date,num_25,num_50,num_75,num_985,num_100,num_unq,total_secs
MhTa6eKBTWEmJvL2hrDpCeKHCp8Wnso6HTgvrsJU3rQ=,20170311,97,3,1,5,41,137,12412.013
hnodoFrg7nKZ0YPXKYHzmM+CWvJtjyftfNRyKlz16yc=,20170321,1,0,0,2,98,87,21981.52
Ml9J0fZKljUlQnSmVnuHTybNwjuQA0o3ucWevHuLbfs=,20170312,0,0,0,0,2,2,411.561
RZrNrorfJCQAXiD4RKFOkJayTCviz9yT0duFQKMPEXA=,20170308,3,0,0,2,9,14,2503.533
Pw8Vp6ULNuT1QkDreTEW5I1fyP93jKSvKOoXAfqrJlA=,20170309,40,19,4,1,36,84,10700.958
mKDdjfUZK+UEfcRM2bTCFJS/S3PuGdErNFF+f+x1Ihs=,20170304,6,0,0,4,140,125,36175.328
mgnZ6fjqKSyUHq+scdInvridtOlqHzLEopErkmwYsv4=,20170312,26,2,0,0,35,52,8620.216
MpfQ33V1z5Tl5q1bkL0USA+Reh9+oPiBPBZZ+tXQIUM=,20170320,3,2,2,1,7,7,2239.263
omGs3e++5Xy0jbgFPTaf6agepdup4wav0yPfp91VOI0=,20170319,0,0,0,0,6,6,1405.456
HA6y1tUgiaTLR611jNB1QEXDHZAGUP8YqikvDYdUli0=,20170321,0,0,0,0,5,5,1121.046
CasE/XM0YIiy0Ibbt6kamJPEEnDOZBFqPFIQvbRyLnQ=,20170301,12,1,0,0,9,11,2524.678
v9oIAzKl1DmmnFI6QsJqEy3s3tdTCeZC0xwR39Snr0k=,20170302,4,0,2,0,14,19,3424.157
S1tfFBIGc5adc2/H4XHBM2e9jVxGiKFyUS0s/Y9N1J0=,20170319,1,2,0,0,20,22,5486.001
wmx1FdKVIc3luGtR5bmvVTi3AmWC2R16qHhcPyyDP3I=,20170322,3,1,0,1,125,112,31612.691
AVX7a2Ha19Ibkfv7dCKLUBhq8MNCaabAbBVKsezKmmc=,20170323,2,1,2,2,59,60,16559.519
yqwVgQN3NU1yIEi2KiE4D0MI8ScbQs1AJ9d3rGGTZ3o=,20170315,13,1,3,4,14,28,4655.699
RL4vqRbTL9+UtkeD2vret7EIyWPWoYtlhk4LzSbnNYk=,20170312,8,3,0,0,42,48,9196.344
mIVhsX74oIJf1rAt1chWo4knlMqwDdDzlciZq3Ob0h0=,20170324,5,1,0,0,2,7,800.822
QGkIZhP93VphzRxPoWdZClWxc502Dc1NgYTRosnorRw=,20170306,3,2,2,1,17,18,5086.439
f8EmIInTUL11dhw45A+pviH+g3uqjtpbEYSOFQ4Cv44=,20170303,3,0,1,0,7,5,1942.216
d320Qqydh3iV1VpppWeHgXB4qJzIA4xe9pLN9Xv8+9I=,20170326,0,1,0,0,9,10,2421.376
FCmxkYSaFkb0y0YoN7Xs6B02ykIkHa0MPQ2jK1Uqs5w=,20170324,0,0,1,0,12,13,3291.663
NlaZnHuaAlytja66SU2SRwuqvil5o9IVByQWZpFQmAo=,20170305,2,1,0,2,3,4,1011.726
FaVzQlqGzk2TYUp61si3USYub6kQq8B+ThaEYy138sQ=,20170315,2,0,0,1,107,105,27208.252
M6sslpSXil/JpgqcOGdS6FYXE+j+ERRD52G7zeXv3Ec=,20170311,0,0,0,0,26,26,6773.777
tXFBiqf8TZyQpQStkMZJ+iySubfeKTcQx/X0YBkKxks=,20170311,1,0,1,0,3,5,800.166
ax8Z14XfGjRDtWYikXEUNMjq3k3WCf7Jee0LfTBFfv4=,20170307,0,0,0,0,4,4,850.173
0Ru7evnXsp8ciXlxz0BJH9sNVJo9d8SUpJ3bbI19CI8=,20170309,0,0,0,0,3,3,737.243
6hh5uc9tR9fziK+/PVMQUzvV3CMQFMotZkXlus+/wQU=,20170321,23,21,5,0,15,59,6513.994
3yNYLvlKPdSvBFXKcQ36H6qqaA1YIVPHLhhRlTk+Hmk=,20170307,1,0,0,0,9,2,1934.285
i3dO+5ztv3p442lPOqeQU7dHFjzk4H0JouqchofG+gQ=,20170315,0,0,0,0,48,48,11850.793
AzRo7ayA3aMACV29bcq2iv+0JSl3iZLsXrNOySMCiAg=,20170331,0,0,0,1,0,1,203.29
Mpt2fpn7GsL2m33gY79d8pdglz4oYt2uXJVcZmG1xq8=,20170307,0,0,0,0,41,38,11343.347
kC6C+sYnzNuhJ5dOBMFgsqyJ9JVCg9IByiVFUgBa/VA=,20170328,0,0,0,0,1,1,177.606
ORzZ/46u6iQ6G+MXX994C5AAANV/vZye72++5z1I+4M=,20170325,7,0,2,2,14,16,3882.97
yJSw8dYkgG0CWj8gTeF0mtAQzkCIW/I//zZ/TKpMqqI=,20170318,3,3,1,0,37,44,9907.389
SMiaE7neN15Do7/xCKotUf6ILQC6WmZa8pS4EgFHSkQ=,20170319,0,0,0,0,100,92,25110.822
zE/qc5ukhZ/6jXazWWU7xCQWCu4FJYeL+tx6tKUVFfY=,20170304,18,1,0,1,20,34,5343.078
1UKL8oxFW/67T3b8Mh9zMmOSeVzwngdgp0QS1QYrG44=,20170329,1,1,0,0,30,20,8473.805
6WL3ApGZLFVxAPJbDhuhXm3Hrf56sVh6ms+DnxANkek=,20170327,0,0,0,0,14,14,3596.0
lZlrkQAq/N6FgBofC47f2cIaIlZlqPgze3Pc2N9pwZw=,20170308,2,0,1,20,149,147,43012.378
Wm/iAJKFyAeapPmx0hVb2Y8Kh385qK8Fo/prVCK03ZE=,20170320,12,1,0,0,6,18,1501.203
NA6g2OMmhULN3ah9MjjJr5mF2sLwnWWRQRQvnGabrsM=,20170330,10,1,0,0,65,69,15807.209
8hEKMbtI97Km/oR5MjUWh5o5D/upNbS1U29hElK+2Rg=,20170320,4,2,1,34,163,71,49270.6
wON1dLFfF7ZiUkJTJxJV186UfpOgZaLUOZFhqfTVlUw=,20170311,9,1,3,7,30,41,9954.281
TugiEZh0JR7y5ZMcb0iAtxibfErRH+PnMHQULt9cTtE=,20170306,5,4,1,0,25,25,6475.77
h5rkfqE3yYOQK7bRtDacag40e1r+WqRfrP547q3nzfw=,20170305,2,0,1,2,5,7,1664.1
GrHBXhAGJPmILDTpxfCRehBYb+AA8lBJjuf4PM2D8qE=,20170330,0,0,0,0,35,35,8002.57
SL9ZwdzlbQhc9e68tLYZSIVWhKB1HMwn3Mr6vrUURU0=,20170330,13,2,4,4,22,42,6781.622
y5YX3t0zwkSbNiKPsFrUu+/tGyC9MQCIM3gtf1xCoKs=,20170302,3,0,1,0,42,13,10467.788
TmLGrivTsnOFVA0H7P3jGSk4lBEvRq4OhLtKUth4I2c=,20170325,223,4,0,9,43,223,13417.373
xvpUGD5Eh7RvJgIL4vicPvwU2tAOiSmqlKLJLdhCOFU=,20170314,3,0,0,0,6,8,1471.301
6a+jW29AKJHHINAY/Ipb4f21xa5uwZuCKY8HjlNzBl4=,20170330,0,2,0,4,18,24,5505.807
O9fz3wAYfVxmqcTaJIvuHLHIlDL0BGXjH72zDSmT/Wg=,20170306,4,0,1,1,7,11,1774.395
ddNOHAM6JWeMz7FuFu29Fx0oyUOr26TOu/yKfgwj8jg=,20170317,0,1,0,0,5,6,1239.832
+hzfCKE89BUrav2EIoU8dAbkieQr6RuSyPV0D/va728=,20170309,2,0,0,1,16,17,4377.008
uXVfywE8LKumoVyhRs6gnoKlvBMaC+6IOxHNq/TjVJU=,20170316,0,0,0,0,12,5,2863.928
i37LD2jCt6nEwdKZ5Puft1h1WDKn/NYDW4C0ejgF4lE=,20170311,0,0,0,0,1,1,270.0
6j7/vJmyW3ETx5fC95xNU0cKm+xOYrAemiGrd3rxA4M=,20170327,9,2,4,1,3,6,1883.193
/9tQjWTLdHGDQfFWTza0IBRZwjL67oIwrafOtUWe+dg=,20170310,0,0,0,0,30,20,6695.0
TYJN9hFdZNW9JaHgqZovqu1cJ3chYhnoyrdfHo3HVy8=,20170308,0,0,0,1,66,5,16945.371
0zRdweZaPFpRjYKJTnvbPDLpL/zdmKvdxqWNnlJz1i4=,20170320,0,0,1,2,20,23,2822.111
+SGmwhkcTWMNDEN5CN+Vpk1eARmtKdIZMnelK1fkOWY=,20170328,14,1,1,2,6,16,2545.997
BTiaDX21tCXMfAp4UjovV2SViacT/vpq7fNMYCIrlQA=,20170316,6,1,3,5,19,17,6867.369
PqrISJfHghsL/riQPh3VdLwWeCeDSCuNI3kDQeZsZkU=,20170325,1,1,0,0,118,19,31397.305
cAAqfsTPiIpkm95cHHSuwDN07nJXQjlPEF1UQkpTjPQ=,20170317,1,5,2,2,7,15,3094.112
xEX5BrVMKqkwAnj4Wi1vGoef5RtS2N3p/AKYFyTFahM=,20170324,14,6,5,3,50,65,14893.597
Cg6/sTuuJ1kXlWzSOMJzbOK2zvsCg2FEIh+Hi6X5+iU=,20170316,2,0,1,0,6,3,1928.931
1i8miIgaWZCYXJRkZUvPSf31jwR2D2nN+MZ9YWVxTgI=,20170320,5,0,0,1,3,7,923.806
5ABo0Yn4zCWI3zoGiWtN7J0Nr4jkTElYszy3OIzcpPs=,20170329,4,0,0,0,3,7,778.88
s7v4GGspwLWrBanLdlgYZXxT0+kROufz0T0bXQM/KDw=,20170321,1,1,0,0,2,4,563.039
+0jqjXkok8WStnM8kMjni+lQhphCUI8MiNn5x3zdjEI=,20170321,1,1,0,0,0,2,78.263
FZyZC4Jh71IufdJKhVOwT10mky8hiHE8iHEcl7rMbhY=,20170310,13,0,0,0,36,49,8068.853
cSu/Oh28D4WusdXXxqkbl1xj55xd2q4JR5UOGgxgSqY=,20170306,9,9,7,0,21,40,7105.251
lCQomzckJXFO7kV06WxNrtsUoZM/vpk4NSzA/0SasXk=,20170307,1,1,0,0,11,7,2862.415
7vdpp70KyS+Vl3wNGa/XeYPQ08DpvTrQDoOSiVbTEpw=,20170309,5,0,1,0,40,39,10142.993
fbXWfqpLO9meJRIRPteUjXK3a8PoW4f8ZF2AaaQe/Nk=,20170319,0,1,0,0,147,148,36147.739
EbYeYF0DcxXM54l9vjiZuOMdIxnsMbWuyVY2Al5i4Ow=,20170323,1,0,0,0,7,8,2094.981
wQZFO8pcdN4YQhcBYV7quxgeRy+tq2HHk0IP+7i7N5g=,20170309,7,4,1,0,111,105,26529.126
WSe0EYRkDUjpom3KiE+03C376LrT6y413wtYHbVBJSw=,20170322,4,2,1,0,46,52,10639.775
JH04fXCoKjrf2RNEWYXvhKEgoKcECtD2j/KzYJcHh5o=,20170325,3,0,0,0,0,3,47.7
U3SnsOFwFzhTCyHdlBRVQJLR9gu06xQi/1az3sltrEw=,20170329,22,2,1,1,11,32,3094.967
abB/p2MakBVCR+wrCkX3AZR8/kRYcZbhFpesJFJ+vLY=,20170306,5,2,1,0,7,13,2220.679
7OkJpeC+jzqpL0Odm35AMzV+7CiyyB4uV2ZqzlJNcKs=,20170324,4,2,1,2,142,131,38085.837
XUBhgIkSqXgOZOqPWO+segGrB2S8bwr/RWyLaRsaXFc=,20170301,11,5,3,5,11,35,5233.559
4pOFyR94X2PEjlyNFy6BFmDWde+8CmPCKDEcIVEs2wo=,20170304,7,2,0,2,20,23,5821.96
76M3fa+sGLbKW4HLJ9y1QO0zxFT4Hlp+QU2Eo8rw2Hc=,20170302,2,3,2,2,48,30,12751.782
rBnOCS0FjpFX+5LsRb1fZe/up6tckVCDW7qHp+ZTDDw=,20170327,3,2,0,0,4,9,1153.083
eEC4h8iGcgiady4kbB19VKoHqJ/kdVncoJHFm7XHv6U=,20170327,0,1,1,0,24,1,5659.588
KfjIElhDR+Gkqmosti0FEsYXhaMJiyUgyYs/g5nd5Fs=,20170307,7,4,1,5,121,29,35239.316
vXHxlqNby5rWjBi2iY5zRhtHJiR8vWPdOUtRLrd/QWU=,20170306,0,2,0,0,2,4,572.515
y9vuYXGSQPkqVX0vL4rRG213QKXZiPDsnn5mQgxlck8=,20170311,7,7,1,2,2,15,1873.329
rIaPtQq2KpB1elHTfihN6PsYryCLX6WPDZYDkXBZIgc=,20170319,0,1,0,0,22,11,5586.94
byRVVBwR356QJSlP4tTLefNDHRSwqA8GXgg03uB4ur8=,20170308,0,0,1,0,8,9,1955.841
cQyGDCm+LXOEQj1fHxdQ+y6zSJjKFD4qZzV/2oeqFbs=,20170313,0,0,0,0,1,1,278.0
DQl17r5TqqNxgni4OLzJXfGmrKrLR/ePotfOrGu1Y4c=,20170309,16,2,1,0,9,18,2833.221
xK3a4X2Aw3STM5S5pHFsbiR61Drph7DxdBxsD4q5Fjk=,20170305,15,4,3,3,49,61,4949.376
+KsyHMhe7Z3KA2vZQC3BEqHmnB6WsVaz0MBV1rAVS7k=,20170328,1,0,1,4,141,145,36263.297
5mLft4Qv69H1lLxsYKUG+VsXVh80BGaeX5d6J18z6J4=,20170330,0,0,0,0,1,1,164.118
9m8XCHZ/BaFWX6jQXxn7kblsOEq3ioPsaiiiWtE8wzo=,20170328,17,3,1,1,51,59,13991.599
UQfSoTA2Y6uqOg6PAW95Ln+vmiAldgFnZ+MsbGgaTPI=,20170320,0,2,1,1,1,4,774.086
z5Hy408+IJx9FUs0zeDLk4LYVhTbKGQIR+dLbBNT4go=,20170314,0,0,0,0,4,4,861.0
oul2i11OasN3bLNeXAcrq5NhqMDxAac/Ep8PIHsJ2HA=,20170318,1,0,0,2,1,3,615.17
kT2M6FMpfCOhp+kRWyl5JG8aKs4Gt7OihxhPBTvyxdM=,20170326,1,1,1,0,9,4,2748.859
JNXfGoC7A+JaknleCA2t5g6fQyjFrrg3uciKM0H9Fo8=,20170303,1,1,0,0,6,5,1443.336
ESO2ZoOZBuV3sb99p8TFQ3I/YNNSg0OSAOjMixpONdE=,20170330,1,0,0,0,2,3,617.952
8yrI2nmkpDGNZ41ZEc4OBu6gC+Opu34BCTaAriMUYAg=,20170319,8,1,0,0,37,41,8944.043
6jOJeaMHmHRsWl41piuF8s+JG2XxrLQpGHXZUAp1JuA=,20170308,10,0,0,1,7,16,2123.838
G/rg0iDPxOPgTYcTwpJS1h8rpiELcq94u0eW4b8Vbh4=,20170316,1,0,0,1,41,16,9888.717
5K2JVVLsdanbaornvrKQ4pAUczyTD9qfv1hFIYQhK4Q=,20170329,7,1,3,1,47,40,12206.373
fUw16yk3xuRcyF2h9+quNq/kKh5V6eiPgaaWXxxwQds=,20170323,0,0,1,0,3,4,866.558
lyVRelqB/WCcjc0ucA+RxHJHEkGmou+hv+lWUmgHC8Y=,20170320,12,0,0,1,7,19,1886.142
2tK0+8kpTDP+KJD1SWO0MbgNmIyQo2ONbyR7/H+cD8k=,20170318,4,0,0,1,60,37,13488.795
2Kksby94ZPmLggHH/V2re0wCh7xYQ23fJ/aL6CTTL7k=,20170312,1,1,0,0,19,3,5485.312
HXK0ZWJuuSnJBV4sYor/39uy4yi6vXJgq8XO0jRyLaE=,20170305,1,1,0,0,43,23,11137.84
b0fhYFEsZ5qFBXgMzztCmvnlGW84bhovP7B0u3grwrU=,20170326,7,7,3,4,19,35,7094.347
28VY9OIny71mc2SzDjsX73gYIugurYtLvya7CvaUlCA=,20170313,0,0,0,0,2,2,427.989
ppPT7lIBzq7y/aAKXiJNMosiDtu+lulERbmGpPrPIUE=,20170322,0,0,1,0,115,7,22462.467
a22tc4yLOzN3fK6F2mcgu+tzXlaqsoJGXPq/ATc7PkM=,20170303,3,3,1,0,24,23,5784.79
j+ZeWEQ3RpJtZiUkmf8WYBr3luFX4BugBQ3MZkL+qvY=,20170319,0,0,0,0,73,56,18804.323
8xIM3bNA8dOhJjD2IXpBcqKfGhAgJt+ASbLT+H2diCs=,20170307,2,0,0,1,19,20,5073.976
JVVwROTZm5EEX7l3zCx0+XcT+vLpiwhTHeaI2h77c/g=,20170302,7,4,5,3,166,15,37802.021
lP+4FvbLhhoQaZwDgBJxYXKJs5CrYp/2/kDEXFdyU2k=,20170322,0,0,0,0,18,14,4439.581
gD5zOTnUabZQOQSc1LfsnJpURdSWprw8201xkCdcv30=,20170318,0,0,1,0,3,1,1071.096
VPseu1/j/Z+PsKGgthIx2tcte4kzfXRxR6fc8GMXcv0=,20170322,2,1,0,0,12,14,3133.334
2tXvo+ViJEqG5JwPca9j/c+yNyMbsVZZgOdvcN645ww=,20170309,0,0,0,1,61,36,15013.924
Nt72W69plJ1yxqmD9QhiHmd/MUHKFADkNmDXfGzk8Us=,20170321,1,0,1,1,21,23,5251.095
eJHNQjAaoHym3BYFXKZZ5z+HZM6QkCB6kKiSv0wKUes=,20170319,5,1,1,0,12,12,3411.296
P7U5PKa7QOopfQ2tUjuF63WuFSdbLBn9FVgV70JkPiQ=,20170303,5,1,2,1,21,22,5675.02
42ABk9yrzVuL2kR2SM46Wg2Q42KkC+E+LbC3JoL1HLc=,20170307,28,3,2,0,32,44,8128.126
xe0CtLTWlWcVjQvmDsiJuKGd9jmzZNNBNxmIM+tGXx0=,20170315,0,0,1,2,11,14,3488.84
xVNU9KlyRVuPmKQvosCOrBzj3fQNJVwuA9lUHlI/+jM=,20170331,2,0,1,0,24,27,5639.27
9bdb9ZpfhFQDcn2u16uohcfgOFsun0fwg1cc6f6JM9Y=,20170316,36,4,3,1,161,171,41949.478
ioFN5hem9Uhi7KevdDiS/pnNtYjjHD+C7KMnO17rM0E=,20170314,0,0,0,0,2,2,586.0
q6nLHRTjGE2+7i5HPAG/yoosVtZMl3/SClleMjAYUqI=,20170321,0,2,0,4,7,12,2608.102
05gSrdqItxJiFlrXcExLhlK7XShoZYAl9eoneD+XIWg=,20170311,1,1,0,0,10,9,2404.827
pTE1zfwdtoJdKvtJYA3/fDPjy0U7feJOo2KYt+KoLbs=,20170311,0,0,0,0,7,7,1711.0
2832ExjbZTi1IdZgbGNY6qCDXACSagTbyOaFFrK7dBU=,20170330,3,1,0,0,14,16,3164.363
9cGAFCqOXvnS1pLyxYi3idZD8BylTeujc+XAhSY3DdU=,20170309,0,0,0,0,25,23,6051.66
gT1vQm09baR+ZcHWZIkMH58gY2d05lIRODErasll5yk=,20170316,0,0,0,0,4,4,917.993
ZwZcZQl9mcxFeyF6imqj68VIHqAxYkqbXQ/z1wPFy7I=,20170326,31,2,5,1,77,64,18633.284
pr1jUb3aXdnSJJiKA9VyL6dKLUtPT6tTihcHWKeZS4Y=,20170315,1,0,0,0,12,13,2686.296
aQzg6yfJYw5AZY8qTU+F8vHrlJoP1P0GFmya9NacXdc=,20170313,2,0,0,0,30,29,7313.609
NCGSHYGtbKA7ZuQERzagStqvytjVxktF4+IN/MdA+gU=,20170311,13,3,2,3,37,16,10487.804
uYWXLyQPhF5CoDED1MZ9OjUsQ/oNAwbFgBK1MBcZBoc=,20170326,10,4,3,5,124,105,32010.419
SToHn/zEy8jmB20nGqo2wCGby3oq134o0PJUCdwnIGo=,20170326,5,3,2,0,27,7,6631.252
sDn6cik6q8MoGmqqnFNTD5L9bjnbDcF2DnA3Ng0s+y8=,20170327,20,6,5,6,22,45,8838.463
PicUvZDauKMpOB4YAPqyN2ULnZzcQvyWQ5Vs2iju9hA=,20170319,4,1,2,1,13,21,3654.637
bwf2qGWJXGewMovP+75lxfoPhkPu1lWPiW9RCSxN7ag=,20170314,25,0,1,1,115,140,30965.466
DGYbj3TJNpBDyImMB0d5RcKnWnPewWoXV0Km9PjAExw=,20170313,9,6,5,1,39,60,11560.558
sic9xD7blIZB5KpW98I1W2jD+RuqEdjgj1vMKZuLCAc=,20170311,0,0,1,2,2,5,1071.46
qkMOqIcKZ3DinPjpmlGAOQC2BE9k1772SCY9KpLRoEU=,20170321,4,2,3,0,37,13,9493.216
d3rChc6bG2cJpJTC6mm3D4207+TsSKkf+DNnITYhzRY=,20170329,10,2,1,4,16,28,5124.714
wV07BL9JcA1XYN0TwOFZloQ/mtijnRe2shVD4XcnPqE=,20170321,9,1,1,0,44,48,10450.208
DqOEHMb78Hpb7zA2uNKhIkVqt+8J1l2yH3REyLMt8bg=,20170319,1,0,0,0,4,4,992.421
v9b5fo79YhdkTtOnf5pkopv8w84QgMDisqME+/JAe2g=,20170329,0,0,0,0,23,23,5288.827
T09a34Qd8P7WRnpdzDOYNnRxlrxu9Lxs7WiDkSJcIJs=,20170305,3,2,0,2,22,17,5946.629
eNwzWkWp2+QxfAb6N5TYw/2LO7NyKq1NvjTDUzMWqQ4=,20170325,2,0,0,2,3,7,1255.952
djMbVRdL8jyAlw5ydhgIv/2PTEWNUeTIWyYqf/gjTTE=,20170323,2,0,0,0,30,30,7225.989
nMLYejFV09QHzdXol8HePwxtz3JauEPAREVFjly8xi0=,20170314,0,0,0,3,1,4,939.955
Oh1H1QQYBprR9Ly6KZkEZ2m4VYCf1WEpJ10qil0lu9E=,20170310,3,6,2,3,27,25,6859.074
lE6ZJ91UqLZChMzKlP5yNUKcs6Q4/5TJE6Uq8GQ+82I=,20170312,20,11,4,2,5,40,3217.566
CZTlikRaQDr9gK8zs4++7o+hU9hDiOj9IC0jFoBNRUM=,20170328,2,0,0,0,5,6,1256.732
LBUV4hjsAIy0anAaxXz9BBqY4c8Zl+JwRoiQxME7z1g=,20170315,9,2,0,1,23,18,5324.096
FTimgMdxEK7m+PyQlNioYX2SR6HzPCCJV8/seqCzISI=,20170309,0,1,1,0,20,18,5325.106
ZJlUEmxRczldcOmIum0nhZAWDNJ+P06coxYier/25jk=,20170327,7,0,3,1,40,23,9453.369
2nSn9bXcbj1phnhK+IUvWmbOkhzbsahGfQVuAD3P/Mo=,20170307,11,4,2,1,4,16,2877.658
AFOBPh2UVcNcM24vULTNRnv0MD4te0ydpp2eAEmslm8=,20170316,11,2,1,0,30,33,8336.517
ZUrJyIak6Jl4D15uKGfSq5OzYIuEZ1iNUWRq6ZTVOPk=,20170326,5,1,4,7,35,42,10463.557
puQMYSn1OtNsUE5km8gkeZGheKdWA44XQC0MlgNK+98=,20170307,3,5,2,2,0,10,944.352
m2UePDL6PE+1iNxMIcX7k2/AoYOZa7xIy8yR0q6bfD8=,20170307,1,0,2,6,49,48,13963.507
QnS1jyOW55Av+UTj/QLFWK6d2XwW8r0WqoIv0HCDFnI=,20170326,3,0,0,1,0,4,303.147
P3iV8g+ftlsI6e/V2XTr9h3hDUmKbOyBP/JtZx2Iqw4=,20170325,14,2,1,7,93,107,25974.236
bvYXFG2OLKUDfyW2WIT53eubar6AUMpB7oT4ntunkb0=,20170305,1,1,0,1,71,73,18557.606
R8OUC3WlvRwRqQickkfrf6z49w7StLA/hxpr1eyGg28=,20170327,1,0,0,0,23,20,5693.036
IgVHB9tV2JXmbZxSnQhb+SszlA9Sl8dGciYKjItOj8g=,20170319,7,0,0,0,8,15,2304.687
kwn7AZgrlxVtu/iXri9KXIt5C1ErMHHpO4ay6/fqlO8=,20170313,0,0,0,0,1,1,242.0
Jf8nnklZQxFh5EvXceEgRBlycbhnzudXTWKjN4qfN/M=,20170302,4,2,0,0,29,31,7729.854
0/cmnzneCIKC065N8zYUJLBWNIJEsFN1PLDKAFxgrWc=,20170305,2,0,1,1,8,9,2323.43
edNb494di8nfOxO7ToiO0gS32HQw4qaBWOUfa2qDY/Q=,20170303,0,0,0,0,10,10,2283.0
Clb9vfhm18vXSnqp3ldV+jXbCRfLccCHT/l68daH8LI=,20170301,1,0,1,0,10,5,2824.665
w+J05hXk9Ki7YSCxF8pGR+JUlCLxqcKuY07C7TCzWkk=,20170317,19,2,1,0,61,73,16129.736
jCZeudS30isETGRbGl101nsqVSqZZ02LZqg6vt/vlQY=,20170309,3,0,0,0,39,11,7103.724
pV5WTBbSBA0Yg+xZRTodNz+VoTxPkGMv8PfH/trMsm8=,20170311,8,0,0,0,14,22,3222.629
